id	type	form	source	directive	target	status	sentence
fn001s14w26	fn	összekapcsolják	_	1nodirectiva	_	auto	"Ragaszkodott ahhoz , hogy az emberek hamarosan képesek lesznek egyszerűen azt mondani , hogy "" most már bárkivel kapcsolatban akarok lenni "" , hogy közvetlenül összekapcsolják az elméjüket egy másik emberével ."
fn001s15w22	fn	megszilárdítsa	_	1nodirectiva	_	auto	A fenevad digitális jelének megteremtése a Nagy Újraindítás egyik fő tétele , amely a globális gazdaság átalakítását írja le , hogy megszilárdítsa a hatalmat az Új Világrend rendszere számára .
fn001s17w11	fn	megtaláljátok	_	_	_	error	A Great Resetről készített 27 oldalas , lapozható összeállításomat itt megtaláljátok , illetve minden támogatónak elküldöm a jövőben készülő további rendszerező kiadványokhoz hasonlóan .
fn003s8w17	fn	okozzunk	_	1nodirectiva	_	auto	Beszélt arról , hogy az influenza vírusát lehetne megváltoztatni úgy , hogy egy nagyone rős pandémiát okozzunk .
fn003s11w11	fn	létrehozzon	_	1nodirectiva	_	auto	Elmondása szerint azonban az volt a célja , hogy előre létrehozzon egy vakcinát , mellyel fel lehet majd venni vele a harcot …
fn005s15w23	fn	felgyorsítsa	_	1nodirectiva	_	auto	"Persze nem állítjuk , hogy a vírust valaki "" ráeresztette volna "" a társadalomra annak érdekében , hogy ezeket a változásokat jelentősen felgyorsítsa , de érdekes eljátszani a gondolattal ."
fn005s17w21	fn	alakítsák	_	1nodirectiva	_	auto	"Egy nagyszabású "" terv "" arra , hogy az emberi morált , a fogyasztási szokásokat sokkal "" környezet barátabbá "" alakítsák , és úgy manipulálják a közvéleményt , hogy egy fenntartható jövő felé legyen terelhető több milliárd ember ?"
fn005s17w25	fn	manipulálják	_	1nodirectiva	_	auto	"Egy nagyszabású "" terv "" arra , hogy az emberi morált , a fogyasztási szokásokat sokkal "" környezet barátabbá "" alakítsák , és úgy manipulálják a közvéleményt , hogy egy fenntartható jövő felé legyen terelhető több milliárd ember ?"
fn005s17w34	fn	legyen	_	1nodirectiva	_	auto	"Egy nagyszabású "" terv "" arra , hogy az emberi morált , a fogyasztási szokásokat sokkal "" környezet barátabbá "" alakítsák , és úgy manipulálják a közvéleményt , hogy egy fenntartható jövő felé legyen terelhető több milliárd ember ?"
fn006s29w16	fn	legyen	_	1nodirectiva	_	auto	Mivel a brüsszeli beszerzésből kevés vakcina érkezik és lassan , Magyarország mindent megtesz , hogy legyen elég vakcina a tömeges oltás megkezdéséhez .
